PC1,PC2,cell_type
0.39165581882737965,-0.3897977056338688,beta
1.3278394852245536,0.9296232914528734,beta
1.7892302628900993,-2.0257286449812404,beta
2.8107704473624984,-1.2265638416329765,beta
0.3156718656741226,-0.8837402216551035,beta
1.8123360970186304,-0.5409927181839217,beta
2.0193163316157423,-0.4252972280038521,beta
1.6246540296972463,0.7264006402801355,beta
1.2675226755289999,0.2682548411794395,beta
3.034364785902662,0.20689471333458354,beta
1.6510797813880385,-1.0692664591167336,beta
1.064536545377502,0.41190740047753954,beta
1.783224237112578,1.0561793588747947,beta
1.0914474416693822,0.627913634304547,beta
1.1876096604002238,-0.22733974379295202,beta
1.9851881169959358,-1.6754208891842013,beta
1.8429860942059657,0.7388228484955777,beta
0.7996478967674768,0.602945642302844,beta
1.4565511564219507,-0.9845526751280402,beta
1.6616363176288977,0.7857803789173768,beta
2.037495243120407,-1.6086779642987126,beta
0.9365746212408413,-1.7205506258208576,beta
1.4208274739521256,-0.9156920128796355,beta
1.70605879395515,-0.6531939232063384,beta
1.7800687626293032,-0.005626847789894636,beta
1.06832968394797,-1.9166997312276752,beta
0.49920772913496814,1.4400645791901339,beta
1.2669727612447264,0.1529034208071624,beta
1.1246205758014873,-0.4302360978168646,beta
1.7029232958040588,-1.3666125665577984,beta
1.1165621931169032,0.45163996904869097,beta
1.6338936539185513,0.30139254672015514,beta
0.8193949112169001,-1.7190239630264488,beta
1.5201099200874637,0.5331569702935799,beta
0.38264196466785055,1.483874740906763,beta
0.7416288490125134,-0.3783677317268464,beta
0.917154217972951,2.5780933297108404,beta
1.4061622067351853,0.6613528166811865,beta
1.579165119168691,0.019287491990861327,beta
1.1704283208552329,-0.688827776347321,beta
1.6043992081499372,0.5108131177111044,beta
1.17194927244041,-0.2055581188308765,beta
1.1775741577295553,-1.6420207705673926,beta
0.24438304596461694,1.533982517648731,beta
2.951164516695579,-1.36264312192376,beta
2.3919121929071316,-1.0778519102507471,beta
2.162609540605264,-1.408661168264366,beta
0.37149929142305765,0.03821668640912362,beta
1.5208030407167779,1.0257313871327591,beta
1.9959609762578532,-2.3075715774086105,beta
2.71067030431142,-1.2014804203686396,beta
0.47352683240822674,-0.7903858546348407,beta
1.5141601024582598,-0.5142105012431154,beta
1.9256568550076172,0.12725088998193287,beta
1.417285784775714,1.3185140903536814,beta
1.1110054577023558,0.06394119807394374,beta
2.5292791114817055,0.38165328441411406,beta
1.7572539265817135,-0.5430503272447356,beta
-0.21920074597421352,0.8644454767319751,beta
2.0756780468657827,0.1402809174953394,beta
0.6635213695768369,0.36949006450915917,beta
1.6129774052191914,-0.015940852493599236,beta
1.8121739391396983,-1.3923112478888369,beta
1.3535271567270004,0.7796659701884171,beta
0.5833607171164534,0.4796800181564069,beta
